Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LB,LB,LB,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,,,,,,
2,D2,07/08/04,Dresden,Duisburg,3,1,H,0,0,D,2.25,3.2,2.75,2.2,3.3,2.9,2.2,3.1,3,2.3,2.9,2.8,2.25,3.2,2.75,2.38,3.1,2.88,2.37,3.3,2.5,1.75,1.95,2.2,1.52,-0.5,,,,,,
3,D2,07/08/04,Essen,Erzgebirge Aue,1,5,A,0,4,A,2.2,3.2,2.8,1.9,3.3,3.65,1.95,3.2,3.5,1.9,3.1,3.5,2,3.2,3.2,1.9,3.3,3.75,2.1,3.2,3,1.79,1.9,1.95,1.67,-0.5,,,,,,
4,D2,07/08/04,Karlsruhe,Burghausen,1,1,D,0,0,D,2,3.2,3.2,2,3.25,3.4,2.1,3.1,3.2,2.1,3,3.1,1.909,3.2,3.5,2,3.3,3.4,1.83,3.3,3.6,1.85,1.85,2.1,1.57,-0.5,,,,,,
5,D2,08/08/04,FC Koln,Cottbus,0,0,D,0,0,D,1.8,3.25,4,1.8,3.4,4,1.85,3.25,3.8,1.8,3.1,3.8,,,,1.8,3.4,4,1.72,3.4,4,1.71,2,1.85,1.75,-0.5,,,,,,
6,D2,08/08/04,Greuther Furth,Ahlen,1,0,H,0,0,D,1.9,3.25,3.4,1.85,3.3,3.85,1.9,3.2,3.65,1.8,3.1,3.8,,,,1.8,3.4,4,1.66,3.3,4.5,1.71,2,1.9,1.71,-0.5,,,,,,
7,D2,08/08/04,Munich 1860,Unterhaching,2,2,D,2,1,H,1.72,3.5,4,1.8,3.4,4,1.75,3.3,4.2,1.8,3.1,3.8,,,,1.75,3.5,4.2,1.72,3.25,4.2,1.75,1.95,1.7,1.91,-0.5,,,,,,
8,D2,08/08/04,Oberhausen,Ein Trier,1,1,D,1,1,D,1.83,3.25,3.75,1.85,3.3,3.85,1.95,3.2,3.5,1.9,3.1,3.5,,,,1.9,3.3,3.75,1.83,3.3,3.6,1.71,2,1.95,1.67,-0.5,,,,,,
9,D2,08/08/04,Saarbrucken,Erfurt,0,2,A,0,1,A,2,3.2,3.2,1.9,3.3,3.65,1.95,3.2,3.5,1.9,3.1,3.5,,,,1.95,3.3,3.6,2.1,3.2,3,1.71,2,1.95,1.67,-0.5,,,,,,
10,D2,09/08/04,Aachen,Ein Frankfurt,1,1,D,0,0,D,2.4,3.2,2.5,2.3,3.2,2.8,2.3,3.2,2.75,2.3,3,2.7,2.25,3.2,2.75,2.4,3,2.88,2.2,3.1,2.87,1.75,1.95,2.3,1.48,-0.5,,,,,,
11,D2,13/08/04,Burghausen,FC Koln,4,2,H,2,1,H,2.6,3.2,2.37,3,3.4,2.1,2.95,3.22,2.2,3.2,2.9,2.1,,,,3,3.25,2.2,2.75,3.1,2.3,1.71,2,1.54,2.2,0.5,,,,,,
12,D2,13/08/04,Duisburg,Saarbrucken,2,1,H,1,0,H,1.72,3.2,4.33,1.55,3.6,5.5,1.65,3.4,5,1.65,3.3,4.4,,,,1.6,3.75,5,1.65,3.3,4.6,1.75,1.95,1.65,2.02,-0.5,,,,,,
13,D2,13/08/04,Erzgebirge Aue,Munich 1860,3,1,H,2,1,H,2.5,3.1,2.5,2.5,3.3,2.5,2.52,3.25,2.52,2.5,3,2.5,,,,2.6,3.1,2.6,2.5,3.1,2.5,1.75,1.95,2.52,1.42,-0.5,,,,,,
